id,text_cleaned,text
1370627732531470340,niger abduction governor sani bello senator saraki harp national unity,"#NIGER ABDUCTION: GOVERNOR SANI BELLO, SENATOR SARAKI HARP ON NATIONAL UNITY https://t.co/tcUFjM3XG0 #economy… https://t.co/d0Yhod7Hbh"
1373214791091814403,gate agent alright line c center seat line nearly cried bc true hate center seat much,"Gate agent: Alright C1-30 line up. ""C"" for ""center seat"" line up.
I nearly cried bc its true. Hate the center seat so much."
1371073478149861377,data science action using python datascience python science,"Data Science in Action using Python - https://t.co/vcTLLyAPJy
-
 #datascience #python #science"
1373181744308965378,years forward top musicians unite call pupils right learn,"3 years on and no further forward. 

Top musicians unite in call for all pupils to have the right to learn an instr… https://t.co/w3vJmUx2rw"
1373180730818260995,orang yg katanya pinter aja masih bisa keblinger character building always important every,RT @megamrsta: orang (yg katanya) pinter aja masih bisa keblinger. that’s why character building had always been most important in every le…
1373212378247073799,not correct please not assume amp not share,"@walequadry @PhilipU @NGSuperEagles @thelssc This is NOT correct AT ALL.

Please do not assume &amp; DO NOT share infor… https://t.co/t7B2w1p2w7"
1370630909653782531,wish everyone could undergo form design education point life best form,I wish everyone could undergo some form of #design #education at some point in life. It is the best form of liberal… https://t.co/80OCrWpHsn
1373300929420783621,leftist democrat publicschools also prejudiced asians well look,"RT @JakeIntEco: #Leftist #Democrat #publicschools also are prejudiced against #Asians because they ""do too well."" Look at what is happening…"
1370751395356274690,upsc upscextraattempt please raise issue upsc extra attempt,"RT @love17771: #UPSC #UPSCExtraAttempt 
Please raise issue on UPSC extra Attempt
@ANI @ndtv @ndtvindia @ZeeNews @EconomicTimes @TimesNow @A…"
1371116270486179840,ezine technology gadget linux opensource video ieee ted business ghanshyamverma,The eZine is out! #Technology #gadget #Linux #OpenSource #Video #IEEE #TED #Business #GhanshyamVerma #news… https://t.co/RZURf7v2jP
1371294561503301632,slv hindu analysis hindu newspaper editorial analysis amp march upsc da via,"#SLV Hindu Analysis.
The Hindu Newspaper Editorial Analysis 14 &amp; 15  March 2021 for #UPSC, Da... https://t.co/QF3dg2ccz3 via @YouTube"
